"X" "y" "LF" "species"
"Eupatorium_cannabinum" "no" "no" "herb" "Eupatorium_cannabinum"
"Espeletia_batata" "no" "yes" "herb" "Espeletia_batata"
"Helianthus_annuus" "no" "yes" "herb" "Helianthus_annuus"
"Heliopsis_helianthoides" "no" "yes" "herb" "Heliopsis_helianthoides"
"Rutidosis_leptorhynchoides" "no" "yes" "herb" "Rutidosis_leptorhynchoides"
"Eurybia_furcata" "no" "yes" "herb" "Eurybia_furcata"
"Symphyotrichum_laeve" "no" "yes" "herb" "Symphyotrichum_laeve"
"Symphyotrichum_novae-angliae" "no" "yes" "herb" "Symphyotrichum_novae-angliae"
"Solidago_canadensis" "no" "yes" "herb" "Solidago_canadensis"
"Tripolium_pannonicum" "no" "yes" "herb" "Tripolium_pannonicum"
"Glebionis_segetum" "no" "no" "herb" "Glebionis_segetum"
"Achillea_millefolium" "no" "no" "herb" "Achillea_millefolium"
"Achillea_ptarmica" "no" "no" "herb" "Achillea_ptarmica"
"Tanacetum_cinerariifolium" "no" "no" "herb" "Tanacetum_cinerariifolium"
"Senecio_glossanthus" "no" "yes" "herb" "Senecio_glossanthus"
"Senecio_vulgaris" "no" "yes" "herb" "Senecio_vulgaris"
"Senecio_quadridentatus" "no" "yes" "herb" "Senecio_quadridentatus"
"Senecio_glomeratus" "no" "yes" "herb" "Senecio_glomeratus"
"Crepis_tectorum" "no" "yes" "herb" "Crepis_tectorum"
"Lapsana_communis" "no" "no" "shrub" "Lapsana_communis"
"Picris_hieracioides" "no" "yes" "herb" "Picris_hieracioides"
"Hypochaeris_radicata" "no" "no" "herb" "Hypochaeris_radicata"
"Sonchus_oleraceus" "no" "yes" "herb" "Sonchus_oleraceus"
"Dendroseris_litoralis" "no" "no" "tree" "Dendroseris_litoralis"
"Dendroseris_pruinata" "no" "no" "tree" "Dendroseris_pruinata"
"Lactuca_serriola" "no" "no" "herb" "Lactuca_serriola"
"Pyrrhopappus_pauciflorus" "no" "yes" "herb" "Pyrrhopappus_pauciflorus"
"Pyrrhopappus_carolinianus" "yes" "yes" "herb" "Pyrrhopappus_carolinianus"
"Cichorium_intybus" "yes" "yes" "herb" "Cichorium_intybus"
"Centaurea_nigra" "no" "yes" "herb" "Centaurea_nigra"
"Centaurea_scabiosa" "no" "yes" "herb" "Centaurea_scabiosa"
"Carthamus_tinctorius" "no" "yes" "herb" "Carthamus_tinctorius"
"Arctium_minus" "no" "yes" "herb" "Arctium_minus"
"Cirsium_acaulon" "no" "yes" "herb" "Cirsium_acaulon"
"Cirsium_arvense" "no" "yes" "herb" "Cirsium_arvense"
"Carduus_nutans" "no" "yes" "herb" "Carduus_nutans"
"Stylidium_graminifolium" "yes" "yes" "herb" "Stylidium_graminifolium"
"Campanula_carpatica" "no" "yes" "herb" "Campanula_carpatica"
"Campanula_americana" "yes" "yes" "herb" "Campanula_americana"
"Campanula_cervicaria" "no" "yes" "herb" "Campanula_cervicaria"
"Campanula_punctata" "yes" "yes" "herb" "Campanula_punctata"
"Phyteuma_spicatum" "yes" "yes" "herb" "Phyteuma_spicatum"
"Specularia_speculum" "no" "yes" "herb" "Specularia_speculum"
"Wahlenbergia_fernandeziana" "no" "yes" "shrub" "Wahlenbergia_fernandeziana"
"Wahlenbergia_berteroi" "no" "no" "herb" "Wahlenbergia_berteroi"
"Lobelia_cardinalis" "yes" "no" "herb" "Lobelia_cardinalis"
"Lobelia_urens" "yes" "yes" "herb" "Lobelia_urens"
"Lobelia_gregoriana" "yes" "no" "herb" "Lobelia_gregoriana"
"Lobelia_deckenii" "yes" "no" "herb" "Lobelia_deckenii"
"Lobelia_telekii" "yes" "no" "herb" "Lobelia_telekii"
"Lobelia_sessilifolia" "yes" "yes" "herb" "Lobelia_sessilifolia"
"Corokia_cotoneaster" "no" "yes" "shrub" "Corokia_cotoneaster"
"Escallonia_myrtoidea" "no" "yes" "tree" "Escallonia_myrtoidea"
"Thaspium_trifoliatum" "yes" "yes" "herb" "Thaspium_trifoliatum"
"Thaspium_barbinode" "yes" "yes" "herb" "Thaspium_barbinode"
"Zizia_trifoliata" "yes" "yes" "herb" "Zizia_trifoliata"
"Lomatium_ambiguum" "no" "yes" "herb" "Lomatium_ambiguum"
"Aethusa_cynapium" "no" "yes" "herb" "Aethusa_cynapium"
"Pastinaca_sativa" "no" "yes" "herb" "Pastinaca_sativa"
"Daucus_carota" "no" "no" "herb" "Daucus_carota"
"Anthriscus_sylvestris" "no" "no" "herb" "Anthriscus_sylvestris"
"Scandix_pecten-veneris" "no" "yes" "herb" "Scandix_pecten-veneris"
"Aralia_hispida" "no" "yes" "herb" "Aralia_hispida"
"Panax_quinquefolius" "no" "yes" "herb" "Panax_quinquefolius"
"Hydrocotyle_americana" "no" "no" "herb" "Hydrocotyle_americana"
"Plectritis_brachystemon" "no" "no" "herb" "Plectritis_brachystemon"
"Valeriana_samolifolia" "no" "yes" "herb" "Valeriana_samolifolia"
"Succisa_pratensis" "no" "yes" "herb" "Succisa_pratensis"
"Lonicera_maackii" "no" "yes" "shrub" "Lonicera_maackii"
"Lonicera_stabiana" "no" "yes" "shrub" "Lonicera_stabiana"
"Ilex_verticillata" "no" "yes" "shrub" "Ilex_verticillata"
"Monarda_didyma" "no" "yes" "herb" "Monarda_didyma"
"Monarda_fistulosa" "no" "yes" "herb" "Monarda_fistulosa"
"Monarda_clinopodia" "no" "no" "herb" "Monarda_clinopodia"
"Satureja_thymbra" "yes" "yes" "herb" "Satureja_thymbra"
"Nepeta_cataria" "no" "yes" "herb" "Nepeta_cataria"
"Glechoma_hederacea" "no" "yes" "herb" "Glechoma_hederacea"
"Salvia_mexicana" "yes" "yes" "herb" "Salvia_mexicana"
"Salvia_stachydifolia" "yes" "yes" "herb" "Salvia_stachydifolia"
"Salvia_elegans" "yes" "no" "herb" "Salvia_elegans"
"Salvia_pratensis" "yes" "yes" "herb" "Salvia_pratensis"
"Salvia_verbenaca" "yes" "yes" "herb" "Salvia_verbenaca"
"Salvia_fruticosa" "no" "yes" "herb" "Salvia_fruticosa"
"Hyptis_capitata" "no" "no" "herb" "Hyptis_capitata"
"Syncolostemon_parviflorus" "no" "yes" "herb" "Syncolostemon_parviflorus"
"Lavandula_stoechas" "yes" "yes" "herb" "Lavandula_stoechas"
"Teucrium_scorodonia" "no" "yes" "herb" "Teucrium_scorodonia"
"Lamium_amplexicaule" "no" "no" "herb" "Lamium_amplexicaule"
"Phlomis_viscosa" "yes" "yes" "herb" "Phlomis_viscosa"
"Stachys_arvensis" "no" "no" "herb" "Stachys_arvensis"
"Stachys_palustris" "yes" "yes" "herb" "Stachys_palustris"
"Stachys_sylvatica" "yes" "yes" "herb" "Stachys_sylvatica"
"Galeopsis_segetum" "no" "yes" "herb" "Galeopsis_segetum"
"Galeopsis_speciosa" "no" "yes" "herb" "Galeopsis_speciosa"
"Gmelina_arborea" "no" "yes" "tree" "Gmelina_arborea"
"Pedicularis_kanei" "no" "yes" "herb" "Pedicularis_kanei"
"Pedicularis_capitata" "no" "yes" "herb" "Pedicularis_capitata"
"Pedicularis_sudetica" "no" "yes" "herb" "Pedicularis_sudetica"
"Pedicularis_attollens" "no" "yes" "herb" "Pedicularis_attollens"
"Pedicularis_groenlandica" "no" "yes" "herb" "Pedicularis_groenlandica"
"Pedicularis_hirsuta" "no" "yes" "herb" "Pedicularis_hirsuta"
"Pedicularis_langsdorffii" "no" "yes" "herb" "Pedicularis_langsdorffii"
"Pedicularis_lapponica" "no" "yes" "herb" "Pedicularis_lapponica"
"Pedicularis_palustris" "no" "yes" "herb" "Pedicularis_palustris"
"Euphrasia_montana" "yes" "yes" "herb" "Euphrasia_montana"
"Bartsia_alpina" "no" "yes" "herb" "Bartsia_alpina"
"Rhinanthus_serotinus" "no" "no" "herb" "Rhinanthus_serotinus"
"Melampyrum_carpathicum" "no" "yes" "herb" "Melampyrum_carpathicum"
"Melampyrum_cristatum" "no" "yes" "herb" "Melampyrum_cristatum"
"Melampyrum_arvense" "no" "yes" "herb" "Melampyrum_arvense"
"Melampyrum_pratense" "no" "yes" "herb" "Melampyrum_pratense"
